record_id,date_yyyymmdd,year,month,day,experiment_round,days_since_first,temperature_c,temperature_step_code,maker_id,maker_count,pre_image_available,post_image_available,result_code,temp_condition_code,overheat_score,particle_score,volume_score,transparency_score,success_score,overall_quality_score_100,source_page,source_doc_row_order,hold_time_min
1,20250508,2025,5,8,1,0,800,1,1,1,1,1,1,1,2,0,0,0,1,20,1,1,
2,20250508,2025,5,8,1,0,800,1,1,1,1,1,1,1,2,0,0,0,1,20,1,2,
3,20250508,2025,5,8,1,0,800,1,2,1,1,1,1,1,2,0,0,0,1,20,1,3,
4,20250508,2025,5,8,1,0,800,1,3,1,1,1,1,1,2,0,0,0,1,20,1,4,
5,20250508,2025,5,8,1,0,800,1,4,2,1,1,1,1,2,0,0,0,1,20,2,5,
6,20250508,2025,5,8,1,0,800,1,5,1,1,1,1,1,2,0,0,0,1,20,2,6,
7,20250508,2025,5,8,1,0,800,1,6,2,1,1,1,1,2,0,0,0,1,20,2,7,
8,20250508,2025,5,8,1,0,800,1,6,2,1,1,1,1,2,0,0,0,1,20,2,8,
9,20250508,2025,5,8,1,0,800,1,6,2,1,1,1,1,2,0,0,0,1,20,2,9,
10,20250508,2025,5,8,1,0,800,1,7,1,1,1,1,1,2,0,0,0,1,20,2,10,
11,20250516,2025,5,16,2,8,780,2,1,1,1,1,1,1,2,0,0,0,1,20,3,11,
12,20250516,2025,5,16,2,8,780,2,1,1,1,1,1,1,2,0,0,0,1,20,3,12,
13,20250516,2025,5,16,2,8,780,2,2,1,1,1,1,1,2,0,0,0,1,20,3,13,
14,20250516,2025,5,16,2,8,780,2,3,1,1,1,2,1,2,0,0,1,1.5,30,3,14,
15,20250516,2025,5,16,2,8,780,2,4,2,1,1,1,1,2,0,0,0,1,20,4,15,
16,20250516,2025,5,16,2,8,780,2,4,2,1,1,1,1,2,0,0,0,1,20,4,16,
17,20250516,2025,5,16,2,8,780,2,4,2,1,1,2,1,2,0,0,1,1.5,30,4,17,
18,20250522,2025,5,22,3,14,760,3,7,1,1,1,3,2,0,4,2,2,4,80,4,18,
19,20250522,2025,5,22,3,14,760,3,1,1,1,1,3,2,0,4,2,2,4,80,5,19,
20,20250522,2025,5,22,3,14,760,3,2,1,0,1,3,2,0,4,2,2,4,80,5,20,
21,20250522,2025,5,22,3,14,760,3,3,1,1,1,3,2,0,4,2,2,4,80,5,21,
22,20250522,2025,5,22,3,14,760,3,6,2,1,1,3,2,0,4,2,2,4,80,5,22,
23,20250522,2025,5,22,3,14,760,3,6,2,1,1,3,2,0,4,2,2,4,80,6,23,
24,20250522,2025,5,22,3,14,760,3,5,1,1,1,3,2,0,4,2,2,4,80,6,24,
25,20250522,2025,5,22,3,14,760,3,4,2,1,1,3,2,0,4,2,2,4,80,6,25,
26,20250530,2025,5,30,4,22,760,3,1,1,1,1,4,3,0,3,5,5,5,95,6,26,
27,20250530,2025,5,30,4,22,760,3,2,1,0,1,4,3,0,3,5,5,5,95,7,27,
28,20250530,2025,5,30,4,22,760,3,6,2,0,1,4,3,0,3,5,5,5,95,7,28,
29,20250530,2025,5,30,4,22,760,3,3,1,1,1,4,3,0,3,5,5,5,95,7,29,
30,20250530,2025,5,30,4,22,760,3,4,2,1,1,4,3,0,3,5,5,5,95,7,30,
