temperature,time,effect
752,56,83.21173037192727
920,95,82.09504507122028
756,32,92.5834623159015
721,75,86.6074262581097
838,36,91.9331560736468
670,115,74.39220648280988
752,11,83.95106171947315
771,99,91.23095236827135
864,26,95.23251943718387
737,113,75.72804935713502
749,42,76.54201718178302
801,18,88.40231600689775
780,52,88.66329266379965
799,57,100.0
907,48,83.77833102326451
943,102,68.30110680718028
841,51,92.9889927559616
926,35,75.32012837270575
810,108,98.11078859505425
671,59,84.29820977224034
902,34,88.71779054506855
885,33,90.02013267452429
698,22,82.72085579639213
708,69,90.60671012534536
819,16,89.26127320337703
837,66,89.78019183504155
920,45,81.06533131376167
839,54,96.4137518813034
824,29,81.11829009269653
700,74,88.79362941646916
704,17,68.85626389908539
893,119,83.6154666291457
780,25,88.05964605397236
784,23,90.44587662324828
670,85,75.14040129354929
816,96,94.12603238946531
923,24,78.80061237941065
738,101,79.99909427099006
663,107,68.21381834319348
891,75,96.40914978625416
914,41,87.13454708548487
702,96,80.40748431316179
741,72,83.98219105984019
913,95,81.36575833205347
684,60,78.74385396163538
855,34,88.66418235625272
730,67,81.89438805219507
699,72,91.26572066101276
651,71,73.95546954744202
703,31,76.36460588565942
755,67,84.31194862248705
909,67,84.20397269209141
840,95,88.82553286217359
867,58,93.75260223608402
693,61,81.35338895401257
811,51,89.29694495486183
851,79,85.28712578091881
919,24,85.0382983458171
920,63,86.84605625421241
864,116,87.88446620626775
901,69,92.5613758221
839,110,89.47539981076365
945,106,70.56134616245087
862,17,88.16792460080295
857,62,100.0
886,69,88.2228598787093
702,117,77.2830762564418
929,117,76.59111022366403
866,14,93.06188898273624
901,112,77.53106953503308
837,77,100.0
690,15,74.42494685815095
806,118,84.40927023246252
664,105,73.72930036521625
714,103,81.25228459003758
658,56,89.39764803254715
778,108,87.91768789434357
785,64,96.04639030924693
712,49,93.04071471950817
788,61,98.98526972105768
730,25,79.67862409916026
812,22,98.97985192654096
938,115,72.24190615285323
910,39,82.17376360833146
880,28,82.79739650306043
690,26,73.59877485861023
677,72,82.34586647419913
784,28,88.63048917728229
850,101,71.62915393181723
917,67,85.75868469025244
682,64,80.13043872097182
697,99,82.68412682149427
711,110,75.10370694269818
865,99,100.0
942,71,90.36396789385121
748,32,84.3704480449511
821,18,98.0681153941654
863,21,90.44605856345474
684,10,75.84732898240122
876,67,96.03326127803714
750,10,82.87035437130243
780,43,93.34175578038739
906,105,85.69676258139484
654,57,89.80226370872744
867,98,88.77597486109836
904,113,78.11101667513921
932,118,65.97384572453007
856,10,96.4865173598182
664,25,73.6637914371402
691,70,85.39404645040634
828,112,99.20953618463497
712,73,85.83801160465246
880,72,89.6666486906126
890,78,95.45836488771872
701,31,82.8036853378196
745,102,86.370528023617
871,76,83.38419564764119
880,85,94.32957603621293
886,35,89.45794033995823
792,25,83.48205310138438
820,60,100.0
678,110,63.647371630441256
685,95,89.20987601256498
662,66,74.4507260000912
809,38,100.0
836,87,89.15522225940673
892,101,86.78112855485361
735,78,81.99935871695251
933,56,90.7055761094891
715,103,78.48340629046375
819,119,91.59889773103853
694,71,82.97532190789497
711,78,76.85167606758174
783,85,93.58053429845268
933,25,77.62381257167127
677,99,81.04656396503806
757,99,84.24070095924662
693,57,83.83618045485834
935,94,88.49463232186469
777,48,100.0
880,109,87.9101697785604
839,42,93.04429951288307
874,103,83.90669335821929
932,110,73.4666150734071
770,32,85.83380908223221
765,19,84.65195128248017
882,78,99.1412648349745
908,109,79.63389164573239
847,43,87.5697349790095
786,61,95.9483263356269
814,104,92.25064212880532
874,19,86.31817729925228
883,28,90.67845611292603
821,67,98.96502755679516
801,105,93.46363746073665
809,10,85.77828322971143
745,78,96.66364719072612
882,118,83.38239894171792
829,13,92.4610948520352
762,25,82.8174405309335
701,33,83.21913495633198
917,89,86.39532528335153
944,11,70.45115783087456
762,101,77.36454205806173
750,41,89.64833011804733
762,100,83.39615088272234
730,93,84.55960734567866
836,33,86.76481964550942
762,21,78.21747042808666
651,59,80.57344731500538
779,44,90.45108119521574
869,42,80.32650239424912
703,42,89.43549409053867
873,70,85.30171465908121
874,60,100.0
775,52,90.03991635555711
779,110,88.08780284062999
702,21,87.05474505193594
821,76,100.0
867,74,100.0
809,42,87.82461880559825
847,49,89.10067251246376
896,83,87.86998637047014
852,52,98.91873718948857
833,53,97.1238627831018
772,38,82.09002982143306
904,22,85.562890794824
943,21,77.24874305882983
929,104,77.96880520522066
747,55,78.9502479109472
847,11,91.92742102239157
889,44,89.5660203014273
793,96,99.25582278319482
746,90,85.34746176734413
850,99,92.21170065259513
773,17,90.77909088052633
836,102,81.78919220669404
908,35,98.02349973300797
797,83,90.94603806038691
901,99,85.73283301071243
796,43,97.26291003474576
797,114,83.44607936004851
848,16,97.95490165723801
777,77,93.10977634677216
688,67,81.83263681546332
778,118,85.21253981194221
916,84,87.98126099304511
800,38,93.6939908240485
947,45,86.4696495519162
748,98,76.0956393051613
912,30,79.82015005086755
901,45,76.88599842595342
793,19,99.36504078421474
761,110,93.83996063842467
709,82,85.85308033766493
651,33,69.79690964543484
903,73,99.64939136109162
789,108,84.61792760934144
686,58,82.49396436547418
809,108,90.83766702865361
658,45,80.11757971009484
882,91,90.19901300852159
748,112,85.41980818737225
796,105,88.29737957323049
857,33,94.04050475878357
780,32,89.21396170252162
801,71,98.6365171843611
703,105,80.3464588891539
769,46,95.1742364539906
810,21,94.96983349510482
765,64,90.46783812544352
724,22,83.93355085779507
762,32,91.26699868957444
753,98,78.66437805525648
903,108,80.02977821384486
876,114,86.60056945609166
761,39,97.6864624736481
748,26,89.36450093064366
802,71,100.0
843,93,89.30813304911526
812,98,93.45095246123822
857,95,93.2886764976306
818,22,81.28824143250111
810,68,100.0
717,28,72.57545059572676
938,58,90.46470034139202
926,109,81.89415895271324
784,21,76.96203498742558
844,70,83.87469371533501
777,114,92.28240958726253
682,28,83.75361029843273
825,85,90.4956817775587
671,18,70.15060552477968
887,80,90.92302486188112
807,37,94.23627924755816
687,87,84.45197607924558
879,104,87.39790462216543
700,61,93.33515396978267
913,92,87.93038888956863
932,25,83.8638652457029
676,78,77.71937639848163
875,108,82.63339382919078
926,21,80.0012050764735
935,34,90.72471534968605
746,61,88.90862635305108
933,94,81.62264493537008
796,109,77.07598546146346
653,62,82.9790436502204
684,32,89.9259914054657
841,25,86.51180945368539
698,66,100.0
666,48,80.27120302328326
821,118,76.57534379307828
869,62,91.83230880016045
807,51,100.0
695,67,93.73658603124902
655,48,81.63049274125842
748,23,92.53797210439484
882,104,78.75107229253824
686,14,72.23869206403046
929,44,75.64270358999106
830,96,89.29468462004047
744,102,87.12959493217832
748,116,82.3432788119151
837,84,97.9792451833159
765,27,82.77742991251633
840,85,88.72237486594067
902,18,83.62305104762456
810,83,91.64676097347342
905,67,95.04924584080047
777,117,81.44290557811262
667,26,73.04305378534376
930,111,79.71419706934243
872,16,83.89355904136254
703,55,78.88527803231294
707,22,74.10322087583955
823,49,100.0
929,51,78.5064424271897
763,18,92.58582213774405
937,59,82.32800357849125
